产品,客户,第 1 季度,第 2 季度,第 3 季度,第 4 季度
新英格兰杰克杂烩,HUNGO, ￥-   , ￥694.80 , ￥-   , ￥-   
新英格兰杰克杂烩,LAUGB, ￥-   , ￥154.00 , ￥-   , ￥-   
新英格兰杰克杂烩,OTTIK, ￥-   , ￥82.51 , ￥-   , ￥-   
新英格兰杰克杂烩,PICCO, ￥-   , ￥-   , ￥-   , ￥337.75 
新英格兰杰克杂烩,REGGC, ￥-   , ￥-   , ￥154.40 , ￥-   
新英格兰杰克杂烩,SAVEA, ￥-   , ￥-   ," ￥1,389.60 ", ￥405.30 
新英格兰杰克杂烩,SEVES, ￥-   , ￥52.11 , ￥-   , ￥-   
新英格兰杰克杂烩,TOMSP, ￥-   , ￥135.10 , ￥-   , ￥-   
新英格兰杰克杂烩,VAFFE, ￥-   , ￥-   , ￥-   , ￥275.02 
新英格兰杰克杂烩,VINET, ￥-   , ￥-   , ￥-   , ￥115.80 
德国慕尼黑啤酒,FRANK, ￥-   , ￥-   , ￥350.00 , ￥-   
德国慕尼黑啤酒,LONEP, ￥-   , ￥98.00 , ￥-   , ￥-   
德国慕尼黑啤酒,PERIC, ￥-   , ￥420.00 , ￥-   , ￥-   
德国慕尼黑啤酒,THECR, ￥-   , ￥-   , ￥-   , ￥42.00 
长寿豆腐,FRANS, ￥-   , ￥-   , ￥-   , ￥50.00 
长寿豆腐,HILAA, ￥128.00 , ￥-   , ￥-   , ￥-   
长寿豆腐,MEREP, ￥240.00 , ￥-   , ￥-   , ￥-   
长寿豆腐,QUICK, ￥120.00 , ￥-   , ￥-   , ￥-   
长寿豆腐,VICTE, ￥-   , ￥-   , ￥-   , ￥112.50 
长寿豆腐,WARTH, ￥-   , ￥-   , ￥-   , ￥350.00 
味道美辣椒沙司,BONAP, ￥-   , ￥-   , ￥-   , ￥199.97 
味道美辣椒沙司,ERNSH, ￥-   , ￥820.95 , ￥-   ," ￥1,299.84 "
味道美辣椒沙司,FRANR, ￥-   , ￥-   , ￥252.60 , ￥-   
味道美辣椒沙司,FURIB, ￥-   , ￥-   , ￥268.39 , ￥-   
味道美辣椒沙司,HANAR, ￥-   , ￥682.02 , ￥-   , ￥-   
味道美辣椒沙司,HUNGO, ￥-   , ￥421.00 , ￥-   , ￥842.00 
味道美辣椒沙司,LAMAI, ￥-   , ￥226.80 , ￥-   , ￥-   
味道美辣椒沙司,LINOD, ￥-   , ￥-   , ￥442.05 , ￥-   
味道美辣椒沙司,OTTIK, ￥-   , ￥599.92 , ￥-   , ￥-   
味道美辣椒沙司,PICCO, ￥-   , ￥-   , ￥202.08 , ￥-   
味道美辣椒沙司,QUICK, ￥423.36 , ￥-   , ￥-   ," ￥1,515.60 "
味道美辣椒沙司,RATTC, ￥336.00 , ￥-   , ￥-   , ￥-   
味道美辣椒沙司,RICAR, ￥588.00 , ￥-   , ￥-   , ￥-   
味道美辣椒沙司,RICSU, ￥-   , ￥-   , ￥210.50 , ￥-   
味道美辣椒沙司,VICTE, ￥-   , ￥-   , ￥-   , ￥42.10 
味道美五香秋葵荚,ANTON, ￥-   , ￥-   , ￥68.00 , ￥-   
味道美五香秋葵荚,EASTC, ￥-   , ￥408.00 , ￥-   , ￥-   
味道美五香秋葵荚,ERNSH, ￥816.00 , ￥-   , ￥-   , ￥-   
味道美五香秋葵荚,FOLKO, ￥-   , ￥-   , ￥-   , ￥850.00 
味道美五香秋葵荚,LAMAI, ￥-   , ￥122.40 , ￥-   , ￥-   
味道美五香秋葵荚,SUPRD, ￥693.60 , ￥-   , ￥-   , ￥-   
意大利白干酪,BOTTM, ￥-   , ￥-   , ￥-   ," ￥1,218.00 "
意大利白干酪,BSBEV, ￥-   , ￥34.80 , ￥-   , ￥-   
意大利白干酪,CONSH, ￥278.00 , ￥-   , ￥-   , ￥-   
意大利白干酪,FOLKO, ￥-   , ￥835.20 , ￥-   , ￥-   
意大利白干酪,GREAL, ￥-   , ￥313.20 , ￥-   , ￥-   
意大利白干酪,ISLAT, ￥-   , ￥-   , ￥-   , ￥348.00 
意大利白干酪,LEHMS, ￥-   , ￥695.00 , ￥-   , ￥-   
意大利白干酪,LINOD, ￥-   , ￥-   ," ￥2,088.00 ", ￥-   
意大利白干酪,MAGAA, ￥-   , ￥-   , ￥-   , ￥887.40 
意大利白干酪,MAISD, ￥-   , ￥-   , ￥522.00 , ￥-   
意大利白干酪,MORGK, ￥-   ," ￥1,044.00 ", ￥-   , ￥-   
意大利白干酪,QUICK, ￥-   , ￥-   , ￥-   , ￥243.60 
意大利白干酪,RICSU, ￥-   , ￥730.80 , ￥-   , ￥-   
意大利白干酪,SAVEA, ￥-   , ￥-   , ￥417.60 , ￥-   
意大利白干酪,SIMOB, ￥-   , ￥835.20 , ￥-   , ￥-   
意大利白干酪,VICTE," ￥1,112.00 ", ￥-   , ￥-   , ￥-   
猪肉酸果曼沙司,BONAP, ￥-   , ￥340.00 , ￥-   , ￥-   
猪肉酸果曼沙司,GOURL, ￥-   , ￥-   , ￥-   ," ￥1,600.00 "
猪肉酸果曼沙司,LEHMS, ￥-   , ￥960.00 , ￥-   , ￥-   
猪肉酸果曼沙司,QUEEN, ￥-   , ￥-   , ￥-   , ￥960.00 
猪肉酸果曼沙司,WILMK, ￥-   , ￥-   , ￥-   , ￥400.00 
味鲜美馄饨,ANTON, ￥-   , ￥87.75 , ￥-   , ￥-   
味鲜美馄饨,AROUT, ￥-   , ￥-   , ￥-   , ￥780.00 
味鲜美馄饨,BLAUS, ￥-   , ￥78.00 , ￥-   , ￥-   
味鲜美馄饨,BONAP, ￥-   , ￥-   , ￥-   , ￥204.75 
味鲜美馄饨,BSBEV, ￥-   , ￥117.00 , ￥-   , ￥-   
味鲜美馄饨,PICCO, ￥-   , ￥-   , ￥390.00 , ￥-   
味鲜美馄饨,TOMSP, ￥187.20 , ￥-   , ￥-   , ￥-   
味鲜美馄饨,WARTH, ￥312.00 , ￥-   , ￥-   , ￥-   
野人麦芽酒,ANTON, ￥-   , ￥560.00 , ￥-   , ￥-   
野人麦芽酒,SAVEA, ￥-   , ￥-   , ￥-   , ￥554.40 
野人麦芽酒,THEBI, ￥-   , ￥-   , ￥-   , ￥140.00 
野人麦芽酒,TOMSP, ￥179.20 , ￥105.00 , ￥-   , ￥-   
野人麦芽酒,VAFFE, ￥-   , ￥-   , ￥-   , ￥196.00 
野人麦芽酒,WHITC, ￥372.40 , ￥-   , ￥-   , ￥-   
罗德尼橘子果酱,ERNSH, ￥-   ," ￥3,159.00 ", ￥-   , ￥-   
罗德尼橘子果酱,HUNGC, ￥-   , ￥-   ," ￥1,701.00 ", ￥-   
罗德尼橘子果酱,LEHMS, ￥-   , ￥-   ," ￥1,360.80 ", ￥-   
罗德尼橘子果酱,SEVES, ￥-   ," ￥1,093.50 ", ￥-   , ￥-   
罗德尼烤饼,BLAUS, ￥-   , ￥-   , ￥80.00 , ￥-   
罗德尼烤饼,BSBEV, ￥112.00 , ￥150.00 , ￥-   , ￥-   
罗德尼烤饼,CHOPS, ￥-   , ￥-   , ￥-   , ￥380.00 
罗德尼烤饼,DUMON, ￥-   , ￥-   , ￥60.00 , ￥-   
罗德尼烤饼,ERNSH, ￥400.00 , ￥-   , ￥-   , ￥-   
罗德尼烤饼,FOLIG, ￥-   , ￥-   , ￥-   , ￥400.00 
罗德尼烤饼,FRANK, ￥-   , ￥-   , ￥225.00 , ￥304.00 
罗德尼烤饼,GODOS, ￥-   , ￥54.00 , ￥-   , ￥-   
罗德尼烤饼,GREAL, ￥-   , ￥-   , ￥108.00 , ￥-   
罗德尼烤饼,KOENE, ￥272.00 , ￥-   , ￥-   , ￥-   
罗德尼烤饼,LILAS, ￥240.00 , ￥-   , ￥-   , ￥-   
罗德尼烤饼,LINOD, ￥-   , ￥-   , ￥-   , ￥300.00 
罗德尼烤饼,MEREP, ￥-   , ￥-   , ￥420.00 , ￥-   
罗德尼烤饼,OCEAN, ￥96.00 , ￥-   , ￥-   , ￥-   
罗德尼烤饼,PRINI, ￥126.00 , ￥-   , ￥-   , ￥-   
罗德尼烤饼,QUEEN, ￥216.00 , ￥-   , ￥-   , ￥-   
罗德尼烤饼,QUICK, ￥-   , ￥-   , ￥600.00 , ￥-   
罗德尼烤饼,RANCH, ￥-   , ￥-   , ￥-   , ￥50.00 
罗德尼烤饼,SIMOB, ￥-   , ￥-   , ￥240.00 , ￥-   
罗德尼烤饼,WANDK, ￥-   , ￥320.00 , ￥-   , ￥-   
罗德尼烤饼,WHITC, ￥-   , ￥120.00 , ￥-   , ￥-   
金刚烈性黑啤酒,BERGS, ￥115.20 , ￥-   , ￥-   , ￥-   
金刚烈性黑啤酒,BSBEV, ￥-   , ￥360.00 , ￥-   , ￥-   
金刚烈性黑啤酒,CACTU, ￥-   , ￥54.00 , ￥-   , ￥-   
金刚烈性黑啤酒,EASTC, ￥504.00 , ￥-   , ￥-   , ￥-   
金刚烈性黑啤酒,ERNSH, ￥-   , ￥-   , ￥405.00 , ￥-   
金刚烈性黑啤酒,FOLIG, ￥-   , ￥-   , ￥-   , ￥270.00 
金刚烈性黑啤酒,FRANK, ￥-   , ￥-   , ￥486.00 , ￥-   
金刚烈性黑啤酒,FURIB, ￥-   , ￥306.00 , ￥-   , ￥-   
金刚烈性黑啤酒,GREAL, ￥-   , ￥-   , ￥72.00 , ￥-   
金刚烈性黑啤酒,LINOD, ￥-   , ￥-   , ￥-   , ￥121.50 
金刚烈性黑啤酒,MEREP, ￥691.20 , ￥-   , ￥-   , ￥-   
金刚烈性黑啤酒,QUEDE, ￥-   , ￥-   , ￥360.00 , ￥378.00 
金刚烈性黑啤酒,VICTE, ￥-   , ￥540.00 , ￥-   , ￥-   
金刚烈性黑啤酒,WARTH, ￥-   , ￥108.00 , ￥-   , ￥-   
金刚烈性黑啤酒,WHITC, ￥-   , ￥-   , ￥-   , ￥504.00 
茶点巧克力软饼,FAMIA, ￥124.83 , ￥-   , ￥-   , ￥-   
茶点巧克力软饼,FRANK, ￥-   , ￥-   , ￥124.20 , ￥-   
茶点巧克力软饼,FRANS, ￥-   , ￥-   , ￥-   , ￥46.00 
茶点巧克力软饼,GODOS, ￥-   , ￥92.00 , ￥-   , ￥-   
茶点巧克力软饼,GREAL, ￥-   , ￥-   , ￥248.40 , ￥-   
茶点巧克力软饼,ISLAT, ￥-   , ￥-   , ￥46.00 , ￥-   
茶点巧克力软饼,LINOD, ￥-   , ￥-   , ￥-   , ￥48.30 
茶点巧克力软饼,QUEDE, ￥24.82 , ￥-   , ￥276.00 , ￥-   
茶点巧克力软饼,QUEEN, ￥36.50 , ￥-   , ￥-   , ￥-   
茶点巧克力软饼,QUICK, ￥-   , ￥-   , ￥-   , ￥437.00 
茶点巧克力软饼,RICAR, ￥292.00 , ￥-   , ￥-   , ￥-   
茶点巧克力软饼,SAVEA, ￥-   , ￥257.60 , ￥-   , ￥110.40 
茶点巧克力软饼,SUPRD, ￥153.30 , ￥-   , ￥-   , ￥-   
茶点巧克力软饼,TOMSP, ￥166.44 , ￥-   , ￥-   , ￥-   
茶点巧克力软饼,TORTU, ￥-   , ￥-   , ￥64.40 , ￥-   
茶点巧克力软饼,WANDK, ￥-   , ￥-   , ￥82.80 , ￥-   
茶点巧克力软饼,WARTH, ￥146.00 , ￥-   , ￥-   , ￥-   
茶点巧克力软饼,WELLI, ￥-   , ￥-   , ￥-   , ￥209.76 
莱阳御贡干梨,BONAP, ￥-   ," ￥1,275.00 ", ￥-   , ￥-   
莱阳御贡干梨,BSBEV, ￥720.00 , ￥-   , ￥-   , ￥-   
莱阳御贡干梨,FOLIG, ￥-   , ￥-   ," ￥1,050.00 ", ￥-   
莱阳御贡干梨,GOURL, ￥-   , ￥-   , ￥-   , ￥76.50 
莱阳御贡干梨,OTTIK, ￥-   , ￥-   , ￥-   ," ￥1,050.00 "
莱阳御贡干梨,QUICK, ￥-   , ￥-   , ￥-   ," ￥2,700.00 "
莱阳御贡干梨,SAVEA, ￥-   , ￥-   ," ￥1,350.00 ", ￥-   
莱阳御贡干梨,VAFFE, ￥-   , ￥-   , ￥300.00 , ￥-   
莱阳御贡干梨,VICTE, ￥364.80 , ￥300.00 , ￥-   , ￥-   
蔬菜煎饼,ALFKI, ￥-   , ￥-   , ￥-   , ￥878.00 
蔬菜煎饼,ERNSH," ￥2,281.50 ", ￥-   , ￥-   , ￥-   
蔬菜煎饼,FOLIG, ￥-   , ￥-   , ￥-   ," ￥1,317.00 "
蔬菜煎饼,HUNGO, ￥921.37 , ￥-   , ￥-   , ￥-   
蔬菜煎饼,MORGK, ￥-   , ￥263.40 , ￥-   , ￥-   
蔬菜煎饼,PICCO, ￥-   , ￥-   , ￥-   , ￥395.10 
蔬菜煎饼,WHITC, ￥-   , ￥-   , ￥842.88 , ￥-   
